"taskID","track","automatedTranscription","sort","sortTwo"
"91162","  101-AlbertEinstein_Chunk_0.mp3","this bronze had wood it's rough unfinished appearance is as after the informal as the great physicist Albert Einstein himself is reputed to have been","0","AlbertEinstein"
"91163","  101-AlbertEinstein_Chunk_1.mp3","what is drooping eyelids and unkempt moustache geniuses have been humanised in his autobiography the sculptor Jacob Epstein","1","AlbertEinstein"
"91168","  101-AlbertEinstein_Chunk_2.mp3","is impressions of Einstein as he posed for him in September 1933 his glands contained a mixture of humane the humerus and the profound","2","AlbertEinstein"
"91169","  101-AlbertEinstein_Chunk_3.mp3","a combination which delighted me the ageing Rembrandt the good humour that Epstein detected in Einstein's expression was in the face","3","AlbertEinstein"
"91170","  101-AlbertEinstein_Chunk_4.mp3","almost tension Hitler at come to power in January 1933 the Nazis had dismissed Einstein's workers Jewish physics","4","AlbertEinstein"
"91171","  101-AlbertEinstein_Chunk_5.mp3","assist I've been forced to flee his home and job in Berlin a Bounty of 1000 guineas on his had eventually ended up with the professorship in Princeton","5","AlbertEinstein"
"91172","  101-AlbertEinstein_Chunk_6.mp3","leaving Europe for America he spent time in England at the invitation of the MP commander Oliver Locker lampson Close political Ally of Winston Churchill","6","AlbertEinstein"
"91173","  101-AlbertEinstein_Chunk_7.mp3","Rowton Heath Norfolk on the north sea coast in a beach hut containing a grand piano Einstein smoke his pipe straight away on an old van","7","AlbertEinstein"
"91174","  101-AlbertEinstein_Chunk_8.mp3","Uncharted as Epstein modelled his head and play in his autobiography Epstein recorder sittings with Einstein","8","AlbertEinstein"
"91175","  101-AlbertEinstein_Chunk_9.mp3","for 2-hours every morning at the first sitting the professor was so surrounded with tobacco smoke from his pipe that I saw nothing at","9","AlbertEinstein"
"91164","  101-AlbertEinstein_Chunk_10.mp3","I asked him to smoke in the interval Einstein's man or was full of charm and Bonnie he enjoyed the joke and had me","10","AlbertEinstein"
"91165","  101-AlbertEinstein_Chunk_11.mp3","drive at the Nazi professors 100 women a book and Condemned his theory where I run he said one professor would have been quite enough","11","AlbertEinstein"
"91166","  101-AlbertEinstein_Chunk_12.mp3","also when speaking of the Nazis you want said I thought I was a physicist I didn't bother about being a Jew until Hitler may be conscious of it","12","AlbertEinstein"
"91167","  101-AlbertEinstein_Chunk_13.mp3","it has been suggested that it was his conversations with Epstein that eventually persuaded Einstein to speak out publicly against Adolf Hitler and the rise of nazism","13","AlbertEinstein"
"91316","  2105_Amphora_Dionysos_and_Ariadne_at_a_symposium_Chunk_0.mp3","the decoration of money Creek via reflects they use at the symposium the Greek drinking party the painting emperor takes wine drinking is it","0","Amphora_Dionysos_and_Ariadne_at_a_symposium"
"91317","  2105_Amphora_Dionysos_and_Ariadne_at_a_symposium_Chunk_1.mp3","I know it deals with divine and mythological figures it also tells a fair amount about the human symposium guests at an Athenian St","1","Amphora_Dionysos_and_Ariadne_at_a_symposium"
"91318","  2105_Amphora_Dionysos_and_Ariadne_at_a_symposium_Chunk_2.mp3","always male but they are sometimes shown accompanied by courtesans diagnosis is shown here with his lover the cretan princess Ariadne","2","Amphora_Dionysos_and_Ariadne_at_a_symposium"
"91319","  2105_Amphora_Dionysos_and_Ariadne_at_a_symposium_Chunk_3.mp3","a flashes depicted in white as was the custom for women on black figure pot in an ancient account of a symposium the Greek writer xenophon describe","3","Amphora_Dionysos_and_Ariadne_at_a_symposium"
"91320","  2105_Amphora_Dionysos_and_Ariadne_at_a_symposium_Chunk_4.mp3","guess what's the short erotic meme about Dionysus and Ariadne which so inflamed them that most cancelled home immediately to make love to them","4","Amphora_Dionysos_and_Ariadne_at_a_symposium"
"91321","  2105_Amphora_Dionysos_and_Ariadne_at_a_symposium_Chunk_5.mp3","all those that were unmarried swore that they would find a mate","5","Amphora_Dionysos_and_Ariadne_at_a_symposium"
"91339","  2108_Bust_of_Euripides_Chunk_0.mp3","this is an imaginary portrait of the 5th century Athenian playwright euripides is a copy of a statue made several decades after his death","0","Bust_of_Euripides"
"91340","  2108_Bust_of_Euripides_Chunk_1.mp3","Theatre of Dionysus in Athens what is place or first produced much of his writing career coincided with the peloponnesian war","1","Bust_of_Euripides"
"91341","  2108_Bust_of_Euripides_Chunk_2.mp3","what happens eventually lost in for a 4 PC two years after the playwrights death is Professor Simon goldhill of King's College Cambridge","2","Bust_of_Euripides"
