"taskID","transcription","valid","comments","userID","inputBy","track","automatedTranscription","sort","sortTwo"
"91146","","yes","","   1","Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_0.mp3","Domenico ghirlandaio and one of the biggest and most successful artist workshops in Florence towards the end of the Fifteenth century and it used to be","0","The_Nativity"
"91146","Domenico Ghirlandaio ran one of the biggest and most successful artist workshops in Florence towards the end of the Fifteenth century and it used to be thought that this","no","",,"Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_0.mp3","Domenico ghirlandaio and one of the biggest and most successful artist workshops in Florence towards the end of the Fifteenth century and it used to be","0","The_Nativity"
"91146","Domenico Ghirlandaio ran one of the biggest and most successful artist workshops in Florence towards the end of the Fifteenth Century and it used to be thought that this...","no",""," 243","Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_0.mp3","Domenico ghirlandaio and one of the biggest and most successful artist workshops in Florence towards the end of the Fifteenth century and it used to be","0","The_Nativity"
,,,,,,,,,
"91147","nativity scene was produced by a junior member under his supervision but cleaning in the 1990s revealed just how good some of the painting here is","yes",""," 243","Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_1.mp3","nativity scene was produced by a junior member under his supervision but cleaning in the 1990s reveals just how good some other painting here is","1","The_Nativity"
"91147","","yes","","   1","Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_1.mp3","nativity scene was produced by a junior member under his supervision but cleaning in the 1990s reveals just how good some other painting here is","1","The_Nativity"
"91147","nativity scene was produced by a junior member under his supervision. But cleaning in the 1990s revealed just how good some of the painting here is","yes","",,"Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_1.mp3","nativity scene was produced by a junior member under his supervision but cleaning in the 1990s reveals just how good some other painting here is","1","The_Nativity"
,,,,,,,,,
"91148","would originally have been much brighter, the cloak of the Virgin Mary for example was originally a fine much lighter shade of blue.  The blue has...","yes","The first portion is a different quote/voice than the narrator."," 243","Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_10.mp3","would originally have been much brighter the cloak of the Virgin Mary for example was originally a fine match lighter shade of blue the blue","10","The_Nativity"
"91148","would originally have been much brighter. The cloak of the Virgin Mary for example was originally a fine, much lighter shade of blue. The blue has ","no","",,"Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_10.mp3","would originally have been much brighter the cloak of the Virgin Mary for example was originally a fine match lighter shade of blue the blue","10","The_Nativity"
"91148","it would originally have been much brighter the cloak of the Virgin Mary for example was originally a fine match lighter shade of blue. The blue
","no","","   1","Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_10.mp3","would originally have been much brighter the cloak of the Virgin Mary for example was originally a fine match lighter shade of blue the blue","10","The_Nativity"
,,,,,,,,,
"91149","change the most of all of the colours on the painting because it uses a pigment called azurite which was very difficult to work with","no","",,"Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_11.mp3","change the most of all of the colours on the painting because it uses a pigment called Elsa right which was very difficult to work with","11","The_Nativity"
"91149","change the most of all of the colours on the painting because it uses a pigment called azurite which was very difficult to work with. Azurite ","no","","   1","Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_11.mp3","change the most of all of the colours on the painting because it uses a pigment called Elsa right which was very difficult to work with","11","The_Nativity"
"91149","changed the most of all of the colours on the painting because it uses a pigment called azurite which was very difficult to work with.  Azurite...","yes",""," 243","Daniel Pett; Jeff Okazaki","  602_The_Nativity_Chunk_11.mp3","change the most of all of the colours on the painting because it uses a pigment called Elsa right which was very difficult to work with","11","The_Nativity"
,,,,,,,,,
